from_id,to_id,distance_km,travel_time_minutes
1,2,0.336,1.0
1,3,0.509,1.22
1,4,0.215,1.0
1,5,0.116,1.0
1,6,0.54,1.3
1,7,0.372,1.0
1,8,0.418,1.0
1,9,0.596,1.43
1,10,0.087,1.0
1,11,0.576,1.38
1,12,0.265,1.0
1,13,0.453,1.09
1,14,0.282,1.0
1,15,0.548,1.31
1,16,0.605,1.45
1,18,0.529,1.27
1,19,0.539,1.29
1,20,0.544,1.31
1,21,0.053,1.0
1,22,0.398,1.0
1,23,0.402,1.0
1,24,0.433,1.04
1,25,0.3,1.0
1,26,0.296,1.0
1,28,0.465,1.12
1,30,0.483,1.16
1,31,0.699,1.68
1,32,0.585,1.4
1,33,0.69,1.66
1,34,0.182,1.0
1,35,0.353,1.0
1,37,0.379,1.0
1,38,0.314,1.0
1,39,0.51,1.23
1,40,0.356,1.0
1,41,0.262,1.0
1,43,0.294,1.0
1,44,0.598,1.43
1,45,0.223,1.0
1,46,0.683,1.64
1,47,0.372,1.0
1,48,0.512,1.23
1,49,0.612,1.47
1,51,0.664,1.59
1,52,0.606,1.46
1,53,0.455,1.09
1,54,0.353,1.0
1,56,0.375,1.0
1,57,0.343,1.0
1,59,0.479,1.15
1,60,0.348,1.0
1,61,0.583,1.4
1,62,0.573,1.38
1,63,0.362,1.0
1,66,0.103,1.0
1,68,0.411,1.0
1,69,0.657,1.58
1,70,0.308,1.0
1,71,0.603,1.45
1,72,0.682,1.64
1,73,0.319,1.0
1,75,0.221,1.0
1,76,0.61,1.46
1,77,0.548,1.32
1,78,0.201,1.0
1,79,0.487,1.17
1,80,0.163,1.0
1,81,0.535,1.28
1,83,0.228,1.0
1,84,0.463,1.11
1,85,0.093,1.0
1,86,0.572,1.37
1,88,0.344,1.0
1,89,0.363,1.0
1,90,0.498,1.2
1,91,0.689,1.65
1,92,0.198,1.0
1,93,0.39,1.0
1,94,0.369,1.0
1,95,0.312,1.0
1,96,0.366,1.0
1,99,0.234,1.0
1,154,0.03,1.0
1,159,0.53,1.27
1,164,0.168,1.0
1,169,0.494,1.18
1,173,0.144,1.0
1,183,0.475,1.14
1,184,0.376,1.0
1,190,0.112,1.0
1,192,0.466,1.12
1,193,0.614,1.47
1,197,0.377,1.0
1,199,0.611,1.47
1,601,0.092,1.0
1,602,0.116,1.0
1,604,0.642,1.54
1,618,0.116,1.0
2,1,0.336,1.0
2,4,0.421,1.01
2,5,0.23,1.0
2,6,0.234,1.0
2,7,0.41,1.0
2,9,0.283,1.0
2,10,0.318,1.0
2,12,0.121,1.0
2,13,0.568,1.36
2,14,0.278,1.0
2,18,0.364,1.0
2,21,0.383,1.0
2,22,0.11,1.0
2,23,0.36,1.0
2,24,0.349,1.0
2,25,0.591,1.42
2,26,0.178,1.0
2,27,0.63,1.51
2,29,0.479,1.15
2,30,0.279,1.0
2,34,0.184,1.0
2,35,0.091,1.0
2,36,0.694,1.67
2,37,0.599,1.44
2,38,0.622,1.49
2,39,0.679,1.63
2,40,0.026,1.0
2,41,0.469,1.13
2,43,0.231,1.0
2,44,0.643,1.54
2,45,0.264,1.0
2,46,0.537,1.29
2,47,0.68,1.63
2,48,0.468,1.12
2,49,0.658,1.58
2,53,0.166,1.0
2,54,0.35,1.0
2,56,0.679,1.63
2,57,0.559,1.34
2,59,0.265,1.0
2,60,0.638,1.53
2,63,0.552,1.32
2,66,0.339,1.0
2,68,0.436,1.05
2,69,0.643,1.54
2,70,0.644,1.55
2,72,0.364,1.0
2,73,0.462,1.11
2,75,0.137,1.0
2,77,0.619,1.49
2,78,0.304,1.0
2,79,0.373,1.0
2,80,0.175,1.0
2,81,0.546,1.31
2,82,0.39,1.0
2,83,0.558,1.34
2,84,0.128,1.0
2,85,0.243,1.0
2,88,0.677,1.62
2,89,0.387,1.0
2,90,0.56,1.34
2,92,0.48,1.15
2,93,0.461,1.11
2,94,0.682,1.64
2,95,0.128,1.0
2,96,0.481,1.15
2,97,0.432,1.04
2,99,0.52,1.25
2,154,0.366,1.0
2,164,0.404,1.0
2,169,0.641,1.54
2,173,0.466,1.12
2,184,0.613,1.47
2,190,0.448,1.07
2,197,0.691,1.66
2,601,0.274,1.0
2,602,0.447,1.07
2,604,0.306,1.0
2,618,0.447,1.07
3,1,0.509,1.22
3,4,0.515,1.24
3,5,0.621,1.49
3,8,0.329,1.0
3,10,0.539,1.29
3,11,0.294,1.0
3,13,0.656,1.58
3,15,0.431,1.03
3,16,0.31,1.0
3,19,0.368,1.0
3,20,0.473,1.14
3,21,0.462,1.11
3,25,0.373,1.0
3,28,0.344,1.0
3,32,0.685,1.64
3,33,0.481,1.15
3,34,0.676,1.62
3,37,0.476,1.14
3,38,0.32,1.0
3,39,0.599,1.44
3,41,0.533,1.28
3,45,0.662,1.59
3,47,0.258,1.0
3,52,0.286,1.0
3,56,0.271,1.0
3,57,0.522,1.25
3,60,0.364,1.0
3,61,0.075,1.0
3,62,0.076,1.0
3,63,0.527,1.26
3,65,0.562,1.35
3,66,0.537,1.29
3,70,0.204,1.0
3,73,0.618,1.48
3,78,0.616,1.48
3,80,0.671,1.61
3,83,0.293,1.0
3,85,0.602,1.44
3,86,0.52,1.25
3,88,0.175,1.0
3,91,0.219,1.0
3,92,0.412,1.0
3,94,0.243,1.0
3,96,0.662,1.59
3,99,0.411,1.0
3,153,0.491,1.18
3,154,0.479,1.15
3,157,0.353,1.0
3,159,0.181,1.0
3,164,0.513,1.23
3,167,0.605,1.45
3,169,0.627,1.5
3,170,0.211,1.0
3,171,0.698,1.67
3,172,0.672,1.61
3,173,0.397,1.0
3,175,0.592,1.42
3,177,0.648,1.56
3,178,0.694,1.67
3,181,0.681,1.63
3,182,0.579,1.39
3,183,0.112,1.0
3,184,0.444,1.07
3,186,0.561,1.35
3,188,0.286,1.0
3,189,0.598,1.44
3,190,0.397,1.0
3,191,0.662,1.59
3,192,0.186,1.0
3,193,0.108,1.0
3,194,0.658,1.58
3,197,0.232,1.0
3,199,0.209,1.0
3,200,0.646,1.55
3,601,0.578,1.39
3,602,0.406,1.0
3,603,0.442,1.06
3,616,0.673,1.62
3,617,0.625,1.5
3,618,0.406,1.0
4,1,0.215,1.0
4,2,0.421,1.01
4,3,0.515,1.24
4,5,0.285,1.0
4,6,0.551,1.32
4,7,0.205,1.0
4,8,0.556,1.33
4,9,0.607,1.46
4,10,0.143,1.0
4,11,0.464,1.11
4,12,0.408,1.0
4,13,0.241,1.0
4,14,0.199,1.0
4,15,0.382,1.0
4,16,0.49,1.18
4,19,0.394,1.0
4,20,0.363,1.0
4,21,0.186,1.0
4,22,0.428,1.03
4,23,0.273,1.0
4,24,0.319,1.0
4,25,0.46,1.1
4,26,0.463,1.11
4,28,0.604,1.45
4,29,0.677,1.62
4,30,0.43,1.03
4,31,0.491,1.18
4,33,0.529,1.27
4,34,0.24,1.0
4,35,0.477,1.15
4,37,0.183,1.0
4,38,0.453,1.09
4,39,0.299,1.0
4,40,0.429,1.03
4,41,0.47,1.13
4,43,0.479,1.15
4,44,0.395,1.0
4,45,0.17,1.0
4,46,0.557,1.34
4,47,0.287,1.0
4,48,0.356,1.0
4,49,0.408,1.0
4,51,0.45,1.08
4,53,0.577,1.39
4,54,0.22,1.0
4,56,0.282,1.0
4,57,0.543,1.3
4,58,0.696,1.67
4,59,0.638,1.53
4,60,0.503,1.21
4,61,0.588,1.41
4,62,0.558,1.34
4,63,0.151,1.0
4,65,0.669,1.6
4,66,0.318,1.0
4,68,0.24,1.0
4,69,0.469,1.13
4,70,0.359,1.0
4,73,0.533,1.28
4,75,0.285,1.0
4,76,0.395,1.0
4,78,0.122,1.0
4,79,0.677,1.63
4,80,0.296,1.0
4,81,0.349,1.0
