junction_id,place_name,latitude,longitude
1,ClockTower_node_1,30.316831,78.033245
2,ClockTower_node_2,30.317084,78.036823
3,ClockTower_node_3,30.317159,78.027924
4,ClockTower_node_4,30.318892,78.032989
5,ClockTower_node_5,30.316487,78.034323
6,ClockTower_node_6,30.318164,78.039727
7,ClockTower_node_7,30.320142,78.034421
8,ClockTower_node_8,30.314495,78.030146
9,ClockTower_node_9,30.318350,78.039789
10,ClockTower_node_10,30.317775,78.033452
11,ClockTower_node_11,30.319380,78.028411
12,ClockTower_node_12,30.316304,78.035654
13,ClockTower_node_13,30.320726,78.033059
14,ClockTower_node_14,30.318840,78.035144
15,ClockTower_node_15,30.320672,78.029545
16,ClockTower_node_16,30.319664,78.027722
17,ClockTower_node_17,30.306904,78.031735
18,ClockTower_node_18,30.313891,78.037371
19,ClockTower_node_19,30.320142,78.029145
20,ClockTower_node_20,30.320919,78.029962
21,ClockTower_node_21,30.317205,78.032758
22,ClockTower_node_22,30.318002,78.037324
23,ClockTower_node_23,30.320195,78.035576
24,ClockTower_node_24,30.319998,78.035787
25,ClockTower_node_25,30.314989,78.030924
26,ClockTower_node_26,30.315876,78.036064
27,ClockTower_node_27,30.316961,78.043692
28,ClockTower_node_28,30.314100,78.029997
29,ClockTower_node_29,30.320706,78.039806
30,ClockTower_node_30,30.319438,78.037587
31,ClockTower_node_31,30.323206,78.033611
32,ClockTower_node_32,30.311695,78.031744
33,ClockTower_node_33,30.321378,78.028073
34,ClockTower_node_34,30.317745,78.035127
35,ClockTower_node_35,30.316262,78.036774
36,ClockTower_node_36,30.319746,78.043408
37,ClockTower_node_37,30.319959,78.031567
38,ClockTower_node_38,30.315226,78.030640
39,ClockTower_node_39,30.321349,78.031750
40,ClockTower_node_40,30.317050,78.036910
41,ClockTower_node_41,30.314645,78.032057
42,ClockTower_node_42,30.310140,78.029674
43,ClockTower_node_43,30.315066,78.036033
44,ClockTower_node_44,30.322230,78.034081
45,ClockTower_node_45,30.318530,78.034686
46,ClockTower_node_46,30.321706,78.037361
47,ClockTower_node_47,30.318575,78.030014
48,ClockTower_node_48,30.321492,78.035659
49,ClockTower_node_49,30.322331,78.034119
50,ClockTower_node_50,30.325431,78.032620
51,FRI_node_1,30.322879,78.032663
52,FRI_node_2,30.314430,78.027722
53,FRI_node_3,30.315940,78.037832
54,FRI_node_4,30.319995,78.034763
55,FRI_node_5,30.307169,78.035148
56,FRI_node_6,30.318696,78.030071
57,FRI_node_7,30.314005,78.032007
58,FRI_node_8,30.323039,78.028163
59,FRI_node_9,30.314878,78.037683
60,FRI_node_10,30.314737,78.030929
61,FRI_node_11,30.316886,78.027238
62,FRI_node_12,30.317453,78.027251
63,FRI_node_13,30.319928,78.032061
64,FRI_node_14,30.325643,78.033160
65,FRI_node_15,30.321915,78.026955
66,FRI_node_16,30.316292,78.033580
67,FRI_node_17,30.322701,78.025282
68,FRI_node_18,30.320390,78.034664
69,FRI_node_19,30.322543,78.034976
70,FRI_node_20,30.316683,78.030100
71,FRI_node_21,30.311492,78.033024
72,FRI_node_22,30.315917,78.040254
73,FRI_node_23,30.314295,78.033750
74,FRI_node_24,30.310231,78.030625
75,FRI_node_25,30.317498,78.035448
76,FRI_node_26,30.322214,78.031952
77,FRI_node_27,30.312059,78.034296
78,FRI_node_28,30.318657,78.034217
79,FRI_node_29,30.313792,78.036526
80,FRI_node_30,30.316868,78.035116
81,FRI_node_31,30.321563,78.034562
82,FRI_node_32,30.317647,78.040810
83,FRI_node_33,30.317475,78.031017
84,FRI_node_34,30.316680,78.038011
85,FRI_node_35,30.316702,78.034020
86,FRI_node_36,30.321233,78.030260
87,FRI_node_37,30.309467,78.033299
88,FRI_node_38,30.317487,78.029843
89,FRI_node_39,30.319937,78.034670
90,FRI_node_40,30.312525,78.034272
91,FRI_node_41,30.315867,78.026068
92,FRI_node_42,30.317999,78.032689
93,FRI_node_43,30.313493,78.034076
94,FRI_node_44,30.318433,78.029925
95,FRI_node_45,30.317983,78.036472
96,FRI_node_46,30.313687,78.034046
97,FRI_node_47,30.316496,78.041263
98,FRI_node_48,30.309056,78.034926
99,FRI_node_49,30.315253,78.032112
100,FRI_node_50,30.324441,78.031622
101,Rajpur_node_1,30.345250,78.030526
102,Rajpur_node_2,30.337500,78.028850
103,Rajpur_node_3,30.332849,78.031766
104,Rajpur_node_4,30.334314,78.032621
105,Rajpur_node_5,30.327495,78.038933
106,Rajpur_node_6,30.335731,78.037599
107,Rajpur_node_7,30.331892,78.032341
108,Rajpur_node_8,30.348318,78.027631
109,Rajpur_node_9,30.329978,78.028764
110,Rajpur_node_10,30.337891,78.033772
111,Rajpur_node_11,30.341324,78.030293
112,Rajpur_node_12,30.329652,78.029294
113,Rajpur_node_13,30.341083,78.032781
114,Rajpur_node_14,30.328348,78.030699
115,Rajpur_node_15,30.341702,78.039639
116,Rajpur_node_16,30.338204,78.032060
117,Rajpur_node_17,30.330875,78.027836
118,Rajpur_node_18,30.336764,78.033565
119,Rajpur_node_19,30.337978,78.029178
120,Rajpur_node_20,30.331411,78.027914
121,Rajpur_node_21,30.331105,78.033242
122,Rajpur_node_22,30.326745,78.029676
123,Rajpur_node_23,30.338288,78.036883
124,Rajpur_node_24,30.336497,78.034814
125,Rajpur_node_25,30.334362,78.028032
126,Rajpur_node_26,30.333258,78.037087
127,Rajpur_node_27,30.339788,78.032237
128,Rajpur_node_28,30.348490,78.030872
129,Rajpur_node_29,30.338520,78.032054
130,Rajpur_node_30,30.335247,78.040494
131,Rajpur_node_31,30.341925,78.025563
132,Rajpur_node_32,30.334314,78.032621
133,Rajpur_node_33,30.339049,78.025767
134,Rajpur_node_34,30.326722,78.023788
135,Rajpur_node_35,30.336184,78.030007
136,Rajpur_node_36,30.337394,78.027697
137,Rajpur_node_37,30.331198,78.022810
